olumlu isim&sıfat;olumlu fiil;olumsuz isim&sıfat;olumsuz fiil
sadık;sevilmek;soluk;kirletmek
uyumlu;güvenmek;umutsuz;vazgeçmek
sevecen;anlaşmak;yok;geciktirmek
etkileyici;hoşgörmek;değil;karıştırmak
sevinç;tebrik etmek;yalnızlık;köreltmek
muhteşem;keşfetmek;eksik;kıskanmak
mutluluk;yenilemek;pişmanlık;böbürlenmek
sürpriz;yardım etmek;yararsız;dalga geçmek
umut;parlamak;yasak;ziyan etmek
başarı;sevdirmek;çaresiz;irkilmek
zafer;sahiplenmek;isteksiz;ürkmek
tam;hediye almak;soğuk;kaybolmak
yararlı;keyiflenmek;nefret;yargılamak
çok;coşmak;yalnız;yadırgamak
güvenli;sevişmek;fena;sövmek
istekli;dayanışmak;son;dövmek
eğlenceli;affedilmek;az;çatışmak
şaşırtıcı;şükretmek;sıkıntılı;yağmalamak
samimi;olmak;karanlık;kirlenmek
yetenekli;etmek;uzak;acıkmak
büyüleyici;gitmek;hüzün ;yaşlanmak
fırsat;yazmak;suçlu;fakirleşmek
gayet;okumak;kıskanç;savaşmak
memnun;eklemek;başarısız;kandırılmak
ilk;düzenlemek;hastalıklı;kandırmak
neşe;biçimlendirmek;uyumsuz;sakatlanmak
yakın;dinlemek;kaba;kesilmek
sağlıklı;takmak;defolu;olmamak
muazzam;içmek;tatsız;yapmamak
verimli;yemek;demode;etmemek
nezaketli;izlemek;fakir;gitmemek
konforlu;seyretmek;yaralı;yazmamak
uysal;söylemek;cimri;okumamak
hünerli;yakınlaştırmak;zayıf;eklememek
olağanüstü;uzaklaştırmak;sakat;düzenlememek
özgür;neşelenmek;hantal;biçimlendirmemek
hoşnut;terfi etmek;gülünç;dinlememek
bereketli;evlenmek;kasvetli;konuşmamak
çekici;kutlamak;kederli;takmamak
süslü;almak;karamsar;içmemek
kusursuz;satmak;cahil;yememek
muntazam;öpmek;hatalı;izlememek
leziz;itmek;arızalı;seyretmemek
olumlu;kamaştırmak;kırgın;söylememek
aşk;ışıldamak;leş;yakınlaştırmamak
anlayışlı;eğlemek;rezalet;uzaklaştırmamak
barış;vermek;perişan;aldatmak
becerikli;atmak;korkunç;çalmak
efsanevi;şaşırtmak;korkutucu;kovulmak
eğlence;halletmek;savurgan;kibirlenmek
faydalı;arınmak;dikkatsiz;terketmek
fevkalade;ilgilenmek;karışık;terkedilmek
ferah;kabul etmek;kırışık;bozulmak
görkemli;tercih etmek;kibir;borçlanmak
hoşgörülü;dilemek;ziyan;çarpıtmak
içten;inanmak;ürkütücü;silmek
saygılı;imrenmek;kokulu;itmek
sakin;empati kurmak;saygısız;çarpmak
kararlı;kazanmak ;kararsız;ertelemek
alçakgönüllü;kabul görmek;itici;yasaklamak
mantıklı;onaylanmak;dağınır;kavuşamamak
planlı;arzulamak;mantıksız;seçememek
sevilen;ferahlamak;plansız;ulaşılamaz
büyük;sarılmak;sevilmeyen;kararmak
şaşalı;büyülenmek;küçük;boğmak
sıcakkanlı;gururlanmak;açgözlü;anlamsızlaştırmak
samimiyet;çabalamak;asosyal;kısıtlamak
onurlu;sabretmek;hasta;öfkelenmek
terbiyeli;umutlanmak;yalancı;kışkırtmak
ahlaklı;hazzetmek;hain;zehirlemek
aşık;etkilenmek;suç;kaçmak
hızlı;kurtulmak;ceza;incinmek
müsait;ummak;onursuz;incitmek
şanslı;dayanmak;ahlaksız;acımak
uslu;heyecanlanmak;terbiyesiz;kızmak
uygun;sabırsızlanmak;savaş;çekilmek
huzurlu;uymak;yavaş;gebermek
keyifli;anlamak;sağlıksız;kızdırmak
açık;becermek;nahoş;aşağılanmak
hoşgörü;önermek;yakışıksız;fenalaşmak
bağ;savunmak;sinirli;özlemek
besin;korunmak;namüsait;yıpranmak
dayanıklı;iyileştirmek;meşgul;kusmak
yürekli;seviyorum;şanssız;kaçırılmak
görüşlü;beğendim;mutsuz;küsmek
değişik;yaradı;dışlanmış;hapsolmak
dikkat;başardı;yaramaz;saçmalamak
belirleyici;oldu;gergin;usanmak
cennet;ödüllendir;aptal;bıkmak
asil;sakinleştir;görgüsüz;utanmak
emek;becerebildi;vurdumduymaz;çıldırmak
hak;temizledi;önyargı;iğrenmek
iç;kazan;öfke;şüphelenmek
kabul;kolaylaştır;yoksulluk;bırakmak
sabır;olur;ızdırap ;yılmak
paha;güven;ihanet;ayrılmak
popüler;akla;serseri;kötüleşmek
varlık;iyileş;zorba;bayılmak
zeka;uydu;sakar;sızlamak
hazır;geliş;şikayet;ağrımak
hayal;güzelleş;komplo;yaralanmak
güç;bayıldım;iblis;kaygılanmak
zehir;kavuşmak;muhtaç;endişelenmek
cesaret;barışmak;firar;saldırmak
korkusuz;övünmek;saygısız ;hırpalanmak
güçlü;geliştirmek;muhalif;pislenmek
ümit;şakımak;imha;sevmiyor
saygı;ilerlemek;iki yüzlü;beğenmedim
onay;düzeltmek;acımasız;yaramadı
düzenli;tuttturmak;geveze;vermiyor
canlı;kavramak;reddedilmiş;inmez
heyecanlı;bulmak;azap;süründür
idealist;artmak;isyan;sürün
hakiki;etkilemek;sabotaj;çıkıştı
bilgili;hayran kalmak;utanmaz;başaramadı
doğru;yetinmek;sorumsuz;istemiyorum
yardımsever;açılmak;işkence;güvenme
düşünceli;eşleşmek;kurnaz;olmadı
sağduyu;alkışlamak;ezik;kaçın
bedava;bilinçlenmek;güçsüz;beceremedi
benzersiz;yüceltmek;huzursuz;suçla
esprili;doğrulamak;yenilgi;alamayız
enfes;uğraşmak;ümitsiz;kirletti
temizlik;ümitlenmek;ret;çıkart
güzellik;ısmarlamak;ölü;kovdu
kahkaha;esinlenmek;çorak;yitirmek
keyif;kollamak;sahte;aldatılmak
mucize;istiflemek;bilgilsiz;reddedilmek
özgürlük;inandırmak;yanlış;ayartmak
tatil;artırmak;yalan;kıvranmak
kıymetli;bereketlendirmek;zalim;bağırmak
mest;doldurmak;zulüm;fevrileşmek
eşsiz;bakmak;pis;soyulmak
şükür;açmak;alıngan;zarar vermek
müthiş;oynamak;yorgun;anlamamak
hayran;göstermek;kaygılı;tiksindirmek
yardım;kullanmak;stresli;harcanmak
özgüvenli;yürümek;uykulu;harcamak
umutlu;yıkamak;ıssız;azalmak
rahat;uyanmak;düşmanlık;hüsrana uğramak
sempatik;sarmak;kriz;güldürmemek
uyum;hoşlanmak  ;pandemi;zarar etmek
tebrik;alkışlamak ;virüs;farketmemek
sağlam;sevdalanmak;depresyon;linçlemek
parlak;serinlemek;zorluk;uydurmak
şampiyon;buluşmak;hırsızlık;mahvetmek
seçkin;olgunlaşmak;cinayet;zorlamak
maalesef;yenilenmek;aşağılanmış;azarlamak
hayırlı;heveslenmek;sıkılmış;dağıtmak
melek;tutturmak;umutsuz ;özenmemek
teşekkür;çalışkan;güvensiz;kastetmek
hoşuma;sevindirmek;saçma;güvenmemek
afiyet;umutlandırmak;yazık;sevilmemek
ulaşılabilir;katılmak;eyvah;öğrenmemek
güzelce;hedeflemek;tüh;düşünememek
iyice;amaçlamak;dehşet;açamamak
inanılır;yanıtlamak;mahçup;yiyememek
yarar;eğitmek;öfkeli;oturamamak
bravo;havalara uçmak;kayıp;yanmak
avantajlı;mutlu olmak;huysuz;kül olmak
harikulade;sevinmek;kötülük;kahrolmak
zekice;hoşlanmak;endişeli;unutulmak
cesurca;sevmek;şüphe;hatırlamamak
nefes kesici;gülmek;panik;durmamak
çevik;öpmek;düşüncesiz;oynamamak
haysiyet;sarılmak;şok;dolandırılmak
kâr;vermek;pişman;yanılmak
coşku;gülüşmek;keşke;vurulmak
babacan;düzenlemek;kırılgan;sarsılmak
özveri;toplamak;saçmalık;vedalaşmak
güven;uslanmak;anormal;bunalmak
ayrıcalıklı;düzelmek;felaket;gecikmek
sıradışı;İyileşmek;fiyasko;suçlamak
adil;geri dönmek;kurgu;çekişmek
önemli;eğlenmek;dolandırıcı;ısırmak
ileri görüşlü;kazanmak;önemsiz;kanamak
devasa;sefa sürmek;sorun;yakalamak
orantılı;ödüllendirilmek;problem;katletmek
özlem;ferahlamak;sıkıntı;ölmek 
ılık;rahatlamak;geç;bayılmak
ılımlı;kurtulmak;beter;hastalanmak
temkinli;başarmak;zehir;düşmek
tedbirli;yenmek;düzenbaz;vurulmak
galip;becermek;sert;yalan söylemek
elverişli;güvenmek;çirkince;hakaret etmek
bakımlı;övmek;kötüce;İftira atmak
bağımsız;parlamak;inanılmaz;tükürmek
azimli;işıldamak;riskli;atmak
evcil;sevmek;tutsak;vurmak
yenilikçi;hoşlanmak;köle;acı çekmek
özgün;ilgilenmek;tutarsız;İhanet etmek
taze;bilgilenmek;anti;yanmak
muhabbet;faydalanmak;utanç;kırmak
aydınlık;öğrenmek;barbarca;yırtmak
adaletli;onaylamak;istifa;kaza yapmak
insancıl;inanmak;iflas;isırmak
liyakatli;güvenmek;ızdırap;üzmek
omurgalı;yararlanmak;umutsuzluk;zarar vermek
süper;yenilemek;riyakarlık;zorlamak
havalı;düzeltmek;ayrılık;çalmak
komik;bulmak;vahşi;gizlemek
zengin;başarmak;hata;cezalandırılmak
güzellik ;bitirmek;aldatıcı;kaybetmek
enerjik;başlatmak;hile;yermek
şanslı  ;bildirmek;aptalca;sönmek
lezzet ;öğretmek;ürpertici;patlamak
sevimli ;keşfetmek;ağlak;körelmek
kolaylık ;tasarlamak;red;yokolmak
ferah ;;yoksul;yakınmak
fedakar;;hastalık;hayıflanmak
tertemiz;;bulanık;söylenmek
zenginlik;;yetersiz;dövmek
tecrübe;;acıklı;saldırmak
kazanç;;anlamsız;yaralamak
yenilik;;kalitesiz;katletmek
gelişim;;aşşağılayıcı;kötülemek
rüya;;kinci;dışlamak
şenlik;;harabe;küsmek
bahar;;harap;bozmak
parıltı;;yıkık;kırmak
öpücük;;dayanılmaz;yıkmak
iltifat;;çarpık;yakmak
beğeni;;eğri;dağıtmak
sevgili;;pısırık;öldürmek
galibiyet;;pişmemiş;düşmek
hevesli;;gaddar;kahrolmak
merhametli;;eşkıya;parçalamak
olgun;;kusmuk;üzmek
bereket;;kalpsiz;
ihtiras;;karaktersiz;
sayın;;baskıcı;
saygıdeğer;;eziyet;
yurtsever;;kimsesiz;
ağırbaşlı;;paçavra;
talihli;;israf;
güzel;;torpilli;
düzgün;;kazanamayan;
yakışıklı;;iyileşemeyen;
güçlü;;gidemeyen;
tatlı;;yürüyemeyen;
cömert;;konuşamayan;
çekici;;amaçsız;
eli açık;;niyetsiz;
hoş;;keyifsiz;
İyi;;sevimsiz;
sorumlu;;eğlencesiz;
akıllı;;cansız;
uslu;;kötücül;
toplu;;yoksun;
düzenli;;varlıksız;
oturaklı;;parasız;
mantıklı;;başarısızlık ;
komik;;memnuniyetsizlik;
hızlı;;fesatlık;
başarılı;;tuzak;
iyi;;kanser;
güzel;;uyuşturucu;
olumlu;;fakirlik;
faydalı;;garip;
öğretici;;mağlubiyet;
sevgi;;hasret;
huzur;;yokluk;
güven;;zavallı;
mutluluk;;imkansız;
heyecan;;leke;
birlik;;darmadağın;
beraberlik;;kavgacı;
doğru;;dert;
hoş;;ağrı;
yararlı;;yeteneksiz;
düzenli;;faydasız;
neşeli;;bereketsiz;
düşünceli;;hüzünlü;
zeki;;hevessiz;
lezzetli;;sadakatsiz;
uyumlu;;sıradan;
yardımsever;;acımazsız;
duyarlı;;başarısızlık;
kabiliyetli;;ham;
zengin;;stres;
genç;;samimiyetsiz;
zevkli;;lezzetsiz;
eğlenceli;;akılsız;
kültürlü;;terör;
bilgili;;alay;
;;zehirli;
;;aciz;
;;talihsiz;
;;dalgın;
;;gülünç;
;;korkunç;
;;saçma;
;;başarısız;
;;güçsüz;
;;karaktersiz;
;;zayıf;
;;çirkin;
;;tatsız;
;;nahoş;
;;acı;
;;kötü;
;;hüzünlü;
;;mahsun;
;;suçlu;
;;yavaş;
;;acımasız;
;;zalim;
;;hayırsız;
;;kırık;
;;kötü;
;;pis;
;;düzensiz;
;;dağınık;
;;boş;
;;faydasız;
;;özensiz;
;;nefret;
;;kin;
;;intikam;
;;vahşet;
;;dehşet;
;;saldırgan;
;;katil;
;;yenilgi;
;;kayıp;
;;üzüntü;
;;kaygı;
;;endişe;
;;kibirli;
;;kavgacı;
;;buyurgan;
;;zalim;
;;acımasız;
;;hile;
;;telaş;
;;kaba;
;;sabırsız;
;;kaba;
;;sorumsuz;
